id_colaborador,nome,sexo,area,cargo,data_admissao
1090,Colaborador 1090,F,RH,Analista,2017-02-14
1091,Colaborador 1091,F,TI,Supervisor,2022-04-06
1092,Colaborador 1092,F,TI,Estagiário,2023-04-06
1093,Colaborador 1093,F,Marketing,Assistente,2019-06-14
1094,Colaborador 1094,F,Operações,Analista,2023-05-28
1095,Colaborador 1095,F,RH,Estagiário,2016-02-22
1096,Colaborador 1096,F,RH,Supervisor,2015-04-25
1097,Colaborador 1097,F,Financeiro,Estagiário,2016-09-08
1098,Colaborador 1098,F,TI,Analista,2023-12-12
1099,Colaborador 1099,M,Operações,Estagiário,2017-04-05
1100,Colaborador 1100,M,Marketing,Coordenador,2024-10-12
1101,Colaborador 1101,F,TI,Estagiário,2019-07-08
1102,Colaborador 1102,F,Marketing,Assistente,2019-02-25
1103,Colaborador 1103,F,Financeiro,Assistente,2023-08-13
1104,Colaborador 1104,F,Financeiro,Coordenador,2016-02-17
1105,Colaborador 1105,F,RH,Analista,2024-06-09
1106,Colaborador 1106,F,Operações,Assistente,2024-07-23
1107,Colaborador 1107,F,Marketing,Supervisor,2016-12-29
1108,Colaborador 1108,F,TI,Assistente,2024-03-02
1109,Colaborador 1109,M,Financeiro,Assistente,2023-05-27
1110,Colaborador 1110,F,RH,Analista,2022-09-09
1111,Colaborador 1111,M,RH,Estagiário,2016-11-06
1112,Colaborador 1112,F,Marketing,Assistente,2024-06-27
1113,Colaborador 1113,F,Financeiro,Coordenador,2020-03-07
1114,Colaborador 1114,M,Operações,Estagiário,2021-11-09
1115,Colaborador 1115,F,Financeiro,Supervisor,2023-02-15
1116,Colaborador 1116,M,Marketing,Analista,2021-02-17
1117,Colaborador 1117,F,Marketing,Supervisor,2022-08-18
1118,Colaborador 1118,F,Financeiro,Estagiário,2018-01-27
1119,Colaborador 1119,M,Marketing,Estagiário,2019-04-21
1120,Colaborador 1120,F,Financeiro,Estagiário,2017-09-04
1121,Colaborador 1121,M,TI,Supervisor,2017-10-05
1122,Colaborador 1122,F,Financeiro,Estagiário,2020-11-13
1123,Colaborador 1123,M,Financeiro,Supervisor,2019-08-15
1124,Colaborador 1124,M,Marketing,Estagiário,2022-06-03
1125,Colaborador 1125,F,Marketing,Coordenador,2023-12-06
1126,Colaborador 1126,F,RH,Estagiário,2015-02-06
1127,Colaborador 1127,M,RH,Supervisor,2024-06-02
1128,Colaborador 1128,F,TI,Assistente,2019-03-29
1129,Colaborador 1129,F,RH,Estagiário,2021-05-15
1130,Colaborador 1130,F,Financeiro,Assistente,2021-03-14
1131,Colaborador 1131,M,Marketing,Coordenador,2022-12-24
1132,Colaborador 1132,M,RH,Analista,2017-05-22
1133,Colaborador 1133,M,RH,Coordenador,2019-12-27
1134,Colaborador 1134,M,TI,Estagiário,2018-07-20
1135,Colaborador 1135,M,TI,Assistente,2020-10-10
1136,Colaborador 1136,M,Financeiro,Assistente,2016-08-18
1137,Colaborador 1137,M,Marketing,Supervisor,2020-03-18
1138,Colaborador 1138,M,TI,Assistente,2016-12-29
1139,Colaborador 1139,M,RH,Supervisor,2018-09-27
1140,Colaborador 1140,F,Marketing,Analista,2016-02-01
1141,Colaborador 1141,M,Marketing,Estagiário,2016-11-29
1142,Colaborador 1142,F,RH,Supervisor,2023-06-18
1143,Colaborador 1143,F,TI,Analista,2021-02-02
1144,Colaborador 1144,F,RH,Assistente,2019-06-24
1145,Colaborador 1145,M,Marketing,Assistente,2016-01-31
1146,Colaborador 1146,M,Operações,Analista,2021-10-28
1147,Colaborador 1147,M,Operações,Assistente,2024-01-18
1148,Colaborador 1148,M,Financeiro,Analista,2015-03-17
1149,Colaborador 1149,F,RH,Supervisor,2015-09-22
